song_id,song_name,artist_name,version,old_genre,new_genre
1539,001 -どうしんのかいろ-,90°club,27,001 -どうしんのかいろ-,ケミカルクラッシュ
1540,Airplane,Red Planets,27,Airplane,ワールドオルタナティブ
1541,Awakening Wings,伊達朱里紗,27,Awakening Wings,超覚醒ロック
1543,Bye Bye,削除,27,Bye Bye,セツナ
1544,Candy Crime Toe Shoes,アリスシャッハと魔法の楽団,27,Candy Crime Toe Shoes,ナイトメアプリマ
1545,Empty Backdoor,森羅万象,27,Empty Backdoor,ドーパミンハイテック
1546,Engraved on my heart ft. 小林マナ,Xceon,27,Engraved on my heart ft. 小林マナ,デライトフルデジポップ
1547,fallen leaves -IIDX edition-,猫叉Master,27,fallen leaves -IIDX edition-,ワールドエレクトロニカ
1548,Gabbalungang,Hommarju,27,Gabbalungang,ガムランガバ
1549,HAGURUMA,School,27,HAGURUMA,スピニングビーツ
1550,Hibiki,ARForest feat.nayuta,27,Hibiki,リムピッド
1551,High Speed Junkie!,"BEMANI Sound Team ""KE!JU""",27,High Speed Junkie!,デッドヒートレイヴ
1553,Indigo Nocturne,"BEMANI Sound Team ""Power Of Nature""",27,Indigo Nocturne,スムースコンテンポラリー
1554,Journey,colors,27,Journey,J-ロックΦNEXT
1555,LIMIT TOPPA REVOLUTION,"BEMANI Sound Team ""PON"" feat.NU-KO",27,LIMIT TOPPA REVOLUTION,ハピコアMAX
1556,MA・TSU・RI,"かなたん,アマギセーラ,ぁゅ by BEMANI Sound Team ""藤森崇多""",27,MA・TSU・RI,ジャパネスク
1557,Mecha Kawa Breaker!!,"BEMANI Sound Team ""ZAQUVA""",27,Mecha Kawa Breaker!!,カワイイブレイクコア
1559,MOVE! (We Keep It Movin'),"Jonny Dynamite!,Lisa - paint with stars -,Rio Hiiragi by BEMANI Sound Team ""U1-ASAMi""",27,MOVE! (We Keep It Movin'),オービタリックエレクトリックミュージック
1561,pastel@sweets labo(*'v'*),m@sumi & くりむ,27,pastel@sweets labo(*'v'*),スカイパティスリー
1562,Pure Rude,kors k,27,Pure Rude,キャンディレイヴランド
1563,Satan,"BEMANI Sound Team ""Devil Summoner""",27,Satan,ヘルメタル
1564,Shout It Out,G-T-R,27,Shout It Out,スラッシュロア
1565,SOLID STATE SQUAD -RISEN RELIC REMIX-,kors k vs. L.E.D. (Remixed by xi),27,SOLID STATE SQUAD -RISEN RELIC REMIX-,ライフストリーム
1567,THE SAFARI - NEETs ver. -,東京アクティブNEETs,27,THE SAFARI - NEETs ver. -,ワールドハウス BAND
1569,Τέλος,"BEMANI Sound Team ""HuΣeR"" feat.ゆきまめ",27,Τέλος,幻想音樂2
1570,unisonote,onoken,27,unisonote,クラシカルアートコア
1571,Unknown Region,REVERSE JOY,27,Unknown Region,アラビアンプログレ
1573,VOLAQUAS,"BEMANI Sound Team ""DJ TOTTO VS 兎々""",27,VOLAQUAS,エンピリアルハイドロアートコア
1574,Xジェネの逆襲,"BEMANI Sound Team ""dj razzle dazzle""",27,Xジェネの逆襲,Xハードコア
1576,あまるがむ,山本真央樹,27,あまるがむ,パーティーフュージョン
1577,粋 -IKI-,"BEMANI Sound Team ""藤森崇多""",27,粋 -IKI-,ヤマトスピリット
1585,鴉,L.E.D.-G,27,鴉,クロスブリード
1586,グランデーロの守り,"BEMANI Sound Team ""劇団レコード"" feat.霜月はるか",27,グランデーロの守り,シャーマンダンス
1587,恋するMonstro,sei☆shin feat.あまねこゆ,27,恋するMonstro,ラブリーサンバ
1588,恋とメロンとキューピット,まろん feat. キャサリン,27,恋とメロンとキューピット,メロメロユーロ
1592,情熱タンデムRUNAWAY,"Nana Takahashi & BEMANI Sound Team ""L.E.D.""",27,情熱タンデムRUNAWAY,爆走ユーロビート
1593,蒼氷のフラグメント,"BEMANI Sound Team ""JYUNN""",27,蒼氷のフラグメント,スノーウィーノクターン
1594,空駆けるスピードスター,"BEMANI Sound Team ""Sota Fujimori"" feat. Kanata.N",27,空駆けるスピードスター,スターライトビート
1595,ダイバージェンス,T-HEY & TANEKO,27,ダイバージェンス,オーバーキャスト
1598,東京メモリー,暁(from My Complex of Academy),27,東京メモリー,シティウォークトラップ
1601,夏色のセーブデータ,"BEMANI Sound Team ""KE!JU""",27,夏色のセーブデータ,オモイデチップチューン
1602,にゃんのパレードマーチ♪,DJ TOTTO feat.にゃん,27,にゃんのパレードマーチ♪,にゃんにゃんマーチ
1603,ノープラン・デイズ,TORIENA,27,ノープラン・デイズ,モーマンタイレイバーズ
1604,脳ミソ de 向上,豚乙女,27,脳ミソ de 向上,アドレナリンパンク
1605,灰の羽搏,かめりあ feat. かめりあ,27,灰の羽搏,サディスティックブレイクコア
1606,悪夢♡ショコラティエ,My Complex of Academy,27,悪夢♡ショコラティエ,メルティーデジロック
1609,ホムンクルスレシピ,アマギセーラ,27,ホムンクルスレシピ,ダークネスアルケミー
1611,無意識のフィロソフィア,"BEMANI Sound Team ""TAG""",27,無意識のフィロソフィア,ハードトランス
1612,斑咲花,"mami,駄々子 by BEMANI Sound Team ""Akhuta Works""",27,斑咲花,ガールズヴィジュアル
1613,明滅の果てに,ELFENSJóN,27,明滅の果てに,リベリオンメタル
1615,勇猛無比,Upper Cape Project,27,勇猛無比,ブレイブロック
1616,ユメブキ,"紫崎 雪,Risa Yuzuki,709sec. by BEMANI Sound Team ""PHQUASE & SYUNN""",27,ユメブキ,ボルテナイズドドリームステップ
1617,ラブケミ,red glasses Trio feat.Sana,27,ラブケミ,ラブケミストリー
1618,リナリア,OSTER project feat. hinatanso,27,リナリア,ガールズマインドポップ
1619,輪廻の鴉,"BEMANI Sound Team ""dj TAKA""",27,輪廻の鴉,スピリチュアルコア
1820,Amulet of Enbarr,Cororo,27,Amulet of Enbarr,アイリッシュミソロジー
1821,Caldwell 99,BlackY,27,Caldwell 99,スターリーベースハウス
1822,Hexer,"BEMANI Sound Team ""Yvya""",27,Hexer,ソーサリーメタル
1823,ISERBROOK,SOUND HOLIC,27,ISERBROOK,ジャジーグルーヴ
1824,Sword of Vengeance,sky_delta,27,Sword of Vengeance,ハイスピードテックコア
1825,葬送のエウロパ,工藤吉三（ベイシスケイプ）,27,葬送のエウロパ,重奏戦記
1826,ただ、それだけの理由で,"BEMANI Sound Team ""あさき""",27,ただ、それだけの理由で,レゾン
1827,パーフェクトイーター,"BEMANI Sound Team ""PON"" feat.かなたん",27,パーフェクトイーター,ロック
1828,満漢全席火花ノ舞,onoken,27,満漢全席火花ノ舞,チャイニーズラッシュ
1829,mathematical good-bye,"三代目 ADULTIC TEACHERS feat. BEMANI Sound Team ""スコーピオン志村""",27,mathematical good-bye,ハードコア
1830,F/S,"BEMANI Sound Team ""Power Of Nature""",27,F/S,エウレカ
1831,Tan♪Tan♪Tan♪,"BEMANI Sound Team ""seiya-murai"" feat ALT",27,Tan♪Tan♪Tan♪,A.I.ステップ
1832,Keep the Faith,吾龍,27,Keep the Faith,バーニングロック
1833,Lovin' You,NU-KO,27,Lovin' You,ちゅきちゅきテクノポップ
1834,Redemption Tears,"BEMANI Sound Team ""劇団レコード"" feat.T4K",27,Redemption Tears,ゴシックヴィジュアル
1835,Dancin' in シャングリラ,阿部靖広 feat.Shiori,27,Dancin' in シャングリラ,バブルディスコファンク
1836,ココロコースター,ウッチーズ,27,ココロコースター,アミューズメントポップ
1837,ma plume,"nonuplet VS BEMANI Sound Team ""Power Of Nature""",27,ma plume,アンジェリーク
1838,ma plume,"nonuplet VS BEMANI Sound Team ""Power Of Nature""",27,ma plume,アンジェリーク
1839,いばら姫,藤野マナミ & うさおりーぬ,27,いばら姫,クランブル
1840,螺旋,Lie☆Rays,27,螺旋,ボーイズロックスタイル
1841,ポラリスノウタ,ここなつ2.0,27,ポラリスノウタ,フューチャーベース
1843,めうめうぺったんたん！！ (ZAQUVA Remix),"Remixed by BEMANI Sound Team ""ZAQUVA""",27,めうめうぺったんたん！！ (ZAQUVA Remix),ハイパーアクティブヘルコア
1844,ちくわパフェだよ☆ＣＫＰ (Yvya Remix),"Remixed by BEMANI Sound Team ""Yvya""",27,ちくわパフェだよ☆ＣＫＰ (Yvya Remix),スイーツプログレメタル
1847,狼弦暴威,Des-ROW・組スペシアル,27,狼弦暴威,ヒップロック8
1848,The Escape,RENO feat.夕霧,27,The Escape,ハードヴィジュアル
1849,謎情の雫 ft. Kanae Asaba,Xceon,27,謎情の雫 ft. Kanae Asaba,ハイパーミステリーポップ
1850,黒猫と珈琲,Yocke,27,黒猫と珈琲,三味線ステップ
1851,Head Scratcher,ヨナヲスナヲ×北川翔也,27,Head Scratcher,インテリジェントジャズ
1854,遊戯大熊猫,98,27,遊戯大熊猫,パンダフュージョン
1855,Stylus,"BEMANI Sound Team ""HuΣeR""",27,Stylus,スタイリッシュテクノ
1856,Crazy Shuffle,Yooh,27,Crazy Shuffle,フューチャーハウス
1857,speedstar[02],m@sumi,27,speedstar[02],フューチャーフュージョン2
1858,少年A,Remixed by 少年ラジオ,27,少年A,ポストルネッサンス
1859,what I wish,E.S.P. feat.星野奏子,27,what I wish,インディーズヒップパンク
1860,TAKE YOU AWAY,"SHIN feat.MiA & BEMANI Sound Team ""あさき""",27,TAKE YOU AWAY,ビヨンドロック
1861,Dragon Blade -The Arrange-,"BEMANI Sound Team ""あさき"" ＆ RENO",27,Dragon Blade -The Arrange-,スレイヤーメタル
1862,pump up dA CORE,RoughSketch,27,pump up dA CORE,マッスルガバ
1863,TURBO BOOSTER,"BEMANI Sound Team ""Sota F. with Mr.Screamer""",27,TURBO BOOSTER,ネオデジタルロック
1864,夜虹,"BEMANI Sound Team ""HuΣeR""",27,夜虹,サーキュラーシンフォニカ
1866,天泣,"BEMANI Sound Team ""meteorologists""",27,天泣,プログレッシブ
1867,オッタマゲッター,"BEMANI Sound Team ""Ota Master""",27,オッタマゲッター,オッタマトライバル
